Quote,Author,Tag,Author_Encoded,Tag_Encoded,Quote_Length,Quote_Length_Scaled
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,"change,deep-thoughts,thinking,world",0,4,113,1.0580548531658578
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,"abilities,choices",3,0,83,-0.18671556232338665
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,"inspirational,life,live,miracle,miracles",0,7,129,1.7219324080934546
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,"aliteracy,books,classic,humor",4,2,102,0.6016390341531348
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"be-yourself,inspirational",5,3,109,0.8920854644339584
Try not to become a man of success. Rather become a man of value.,Albert Einstein,"adulthood,success,value",0,1,65,-0.9335778116169332
It is better to be hated for what you are than to be loved for what you are not.,André Gide,"life,love",1,8,80,-0.31119260387231107
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"edison,failure,inspirational,paraphrased",7,5,63,-1.016562505982883
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,misattributed-eleanor-roosevelt,2,9,83,-0.18671556232338665
"A day without sunshine is like, you know, night.",Steve Martin,"humor,obvious,simile",6,6,48,-1.638947713727505
